,bio,followers,following,img_url,is_verified,name,source,text,time,tweet_id,user_location,username
0,wonderjunkie! sarvantharyaami.,39,False,http://pbs.twimg.com/profile_images/1087428256108818433/08_-5gO8_normal.jpg,False,sai vamshi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @pewdiepie: tseries now have people spamming my diss track to make them subscribe because:😡pewdiepie insults india 😡 https://t.co/utlz7B…,Tue Mar 12 15:03:50 +0000 2019,1105484552980582401,,vamshicool95
1,,58,False,http://pbs.twimg.com/profile_images/1095983427545747456/lsrXlqI2_normal.png,False,Anil Sanjeev,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @AmitShah: Under the visionary leadership of PM @narendramodi ji, Indian economy has emerged as the fastest growing economy. NDA governm…",Tue Mar 12 15:03:50 +0000 2019,1105484552649105408,,sanjeev_anil
2,I stan bangtan boys since 2013,10,False,http://pbs.twimg.com/profile_images/1094625053075898368/68I4d1Vn_normal.jpg,False,🤦🏻‍♂️,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @btsvotingteam: 🌎 TOP COUNTRIES tweeting #iHeartAwards in the last 24hrs:

1. South Korea
2. Indonesia
3. Brazil
4. Argentina
5. Thailan…",Tue Mar 12 15:03:50 +0000 2019,1105484549176287234,,jikookieee_
3,,605,False,http://pbs.twimg.com/profile_images/1044289886776320000/vrC-qC-B_normal.jpg,False,Sassy Indian Girl 🇮🇳,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @muglikar_: Any person who is an employee of the state cannot use any power to curb a fundamental right. They are enforceable against th…,Tue Mar 12 15:03:50 +0000 2019,1105484548836675584,"Mumbai, India",SassyIndianGurl
4,Student is the power of INDIA . support Narendra Modi because modi is best comparision other Politician In India.,121,False,http://pbs.twimg.com/profile_images/1024615574930841601/DurCgnLk_normal.jpg,False,Shivamraj,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @abpnewstv: Michel, who was presented before Special Judge Arvind Kumar, said he was put in the prison with 16-17 Kashmiri separatist le…",Tue Mar 12 15:03:49 +0000 2019,1105484547901157376,"Prayagraj,Uttar Pradesh, India",Shivamr66978825
5,Official Twitter Account of the High Commission of India in Bangladesh বাংলাদেশস্থ ভারতীয় হাই কমিশনের টুইটার অ্যাকাউন্ট,44843,False,http://pbs.twimg.com/profile_images/536461181032992768/W0lfYiu3_normal.png,True,India in Bangladesh,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",High Commission of #India welcomed the new High Commissioner Smt. @rivagdas and bade a reluctant farewell to Shri S… https://t.co/C7We4hl4Ur,Tue Mar 12 15:03:49 +0000 2019,1105484547586633731,"High Commission of India, Dhaka, Plot No. 1-3, Park Road, Baridhara, Dhaka 1212.",ihcdhaka
6,,26,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,Kasim Patel,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @gops333: At debut rally, Priyanka attacks government on PM Modi's home turf | India News - Times of India 
#ModiCorruptionYaadRakhna
ht…",Tue Mar 12 15:03:49 +0000 2019,1105484547452366848,,kasimpatel2112
7,"ख़ुशी भी कमबख़्त ठहरती नहीं, इसने भी पर उगा रखें हैं।
[]GOVERNMENT OF BIHAR[]",545,False,http://pbs.twimg.com/profile_images/1099171026938654721/YGvSr-2C_normal.jpg,False,मुकेश कुमार™,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @rkhuria: #GandhiMarchesOn Savarkar &amp; Godse plotted and executed Gandhi’s Murder. Modi still worships Savarkar. Is he fit to rule India?…,Tue Mar 12 15:03:49 +0000 2019,1105484547162963968,भारत,imkr_mUkkU
8,,127,False,http://pbs.twimg.com/profile_images/3008327629/46899caf8b626e49dd45391f054c71f1_normal.jpeg,False,Christian Alessandro,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @nelsonbocaranda: URGENTE:Giovanni @Staunovo desde India afirma que M.M.Kutty Ministro de Petróleo y Gas del gobierno INDIO alertó a com…,Tue Mar 12 15:03:49 +0000 2019,1105484546114547718,,calessadro
9,,17,False,http://pbs.twimg.com/profile_images/860549585516625921/O11gt95h_normal.jpg,False,Apurv Gupta,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AskAnshul: Whenever Israel faces terror attack, Western Media doesn't pay much attention. But when Israel retaliates, it portrays as if…",Tue Mar 12 15:03:49 +0000 2019,1105484545787346944,Kanpur,rt_apurv
10,#GRACIAS DONALD TRUMP POR LIBERAR VENEZUELA,191,False,http://pbs.twimg.com/profile_images/1041362707314819072/P0u-JPQ3_normal.jpg,False,Peter Seller🇺🇸🇮🇱,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @leonline2000: Una de las últimas línea de Oxígeno Petrolero al NarcoRegimen de Maduro cayó.

India anunció que habría medidas severas p…",Tue Mar 12 15:03:49 +0000 2019,1105484544818458624,USA,PeterSeller9
11,Smart dumbo,154,False,http://pbs.twimg.com/profile_images/429322205/DSC00292_normal.JPG,False,Chintan Khakharia,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You need to read this @RahulGandhi 

https://t.co/asQoOvDLk4",Tue Mar 12 15:03:48 +0000 2019,1105484544159887360,"Anand, Gujarat, India",chintankh
12,VIROLOGIST,54,False,http://pbs.twimg.com/profile_images/1104297290401964032/8Lk8TcoI_normal.jpg,False,NEHA SRIVASTAVA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @EconomicTimes: India successfully carries out third trial of #Pinaka guided missile at #Pokharan | https://t.co/MflfWaVyIi https://t.co…,Tue Mar 12 15:03:48 +0000 2019,1105484542511476737,India,chitranshneha
13,#HumanRights #metoo #EndRacism #EndMisogyny #Endhatred #FamiliesBelongTogether #resist #dem🌊 #BlacklivesMatter #vegan #apaop #ProtectMueller 🌊#IMPEACH,17836,False,http://pbs.twimg.com/profile_images/1075994220874223617/9Q29ZzdS_normal.jpg,False,Jeannie Hartley,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @extinctsymbol: Pathogens on plastic waste in the ocean are being spread globally: https://t.co/q0a4kDA9Hh,Tue Mar 12 15:03:48 +0000 2019,1105484541915889665,worldwide,Jeannie_Hartley
14,"नमस्कार 🙏...

Path of #Dharma☝️...
हिंदवी स्वराज्य व्हावे ही 'श्रीं'ची ईच्छा🚩...

Hyper nationalism is any day better that mildest of gaddari...
🇮🇳",315,False,http://pbs.twimg.com/profile_images/1103315108820705280/ZFbe7Jmp_normal.jpg,False,Ⓜ️🆗⚡️♓️°🕉️ 🇮🇳,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FMF_tw_official: The ones who paint the picture that the condition of Muslims is the same as condition of Jews in World War II - 

Ther…",Tue Mar 12 15:03:48 +0000 2019,1105484540649201664,महाराष्ट्र...भारत 🚩,ShindeDip7040
15,The universe is just a project on an alien kid’s dresser that he got a C- on 👽🔮,335,False,http://pbs.twimg.com/profile_images/1087701031197253632/hNRSdz9x_normal.jpg,False,India Patrice,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Come see me this Friday‼️🤟🏽 https://t.co/5Zz6uQDvAN,Tue Mar 12 15:03:47 +0000 2019,1105484539403526144,,India_Patrice97
16,,58,False,http://pbs.twimg.com/profile_images/1095983427545747456/lsrXlqI2_normal.png,False,Anil Sanjeev,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @AmitShah: In the last five years, India’s prestige on the world stage stands enhanced significantly. Value of the Indian passport has i…",Tue Mar 12 15:03:47 +0000 2019,1105484537478303744,,sanjeev_anil
17,Tweeting opinions I don't/won't/can't tweet non-anonymously. It's been great to run this anon account without disclosing my identity. fallback: @gumnaamdesi,1144,False,http://pbs.twimg.com/profile_images/820483369234534400/h0-M8PQ0_normal.jpg,False,ಅನಾನ್‌ ದೇಸಿ - Anon Desi 🇮🇳,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",RT @muglikar_: Any person who is an employee of the state cannot use any power to curb a fundamental right. They are enforceable against th…,Tue Mar 12 15:03:47 +0000 2019,1105484536912232449,🌎,AnonDesi
18,"#Sr.CrimeReporter
#Lucknow
मुझको इतनी जल्दी पढ़ लोगे आप,
जिसको लिखने में पूरी जिंदगी लगी,
कभी आप मुझे समझोगे तो जानोगे,
की मेरी बातें मेरा स्वभाव सब आपके लिए है।",458,False,http://pbs.twimg.com/profile_images/1105080657011601408/v42WEEXW_normal.jpg,False,Amit Kumar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TimesNow: WATCH: @ashutosh83B, Political Analyst Vs @Shehzad_Ind , Lawyer in conversation with @RShivshankar on India Upfront | #UPAPol…",Tue Mar 12 15:03:47 +0000 2019,1105484536736043009,"Gomti Nagar, Lucknow",News18AmitKumar
19,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements.,6706879,False,http://pbs.twimg.com/profile_images/876785263011287040/cgUWlhF3_normal.jpg,True,Hindustan Times,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",".@sanjaymanjrekar picks India’s squad for #WorldCup2019, names surprise omission

(via @HTSportsNews)… https://t.co/9XGSnp6YT1",Tue Mar 12 15:03:47 +0000 2019,1105484536341618693,India,htTweets
20,Avid traveller. Proud Hindu. Let's make India Great Again!!!,192,False,http://pbs.twimg.com/profile_images/830434397790814208/KcEhEJUh_normal.jpg,False,Govindam,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KiranKS: In 2014, there was a rush among pSeculars to vow to move out of India if Modi becomes PM.

In 2019, haven't heard anyone wanti…",Tue Mar 12 15:03:46 +0000 2019,1105484535461003264,Indraprastha,vibhupal
21,"I admire Kangana Ranaut, MS Dhoni",689,False,http://pbs.twimg.com/profile_images/1105481406736551938/tI3AlHdD_normal.jpg,False,B. Rohith Kumar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TrueIndology: 1) This item wanted to ""expose me"". He already stands naked in the first tweet of his thread.

Fake claim 1: ""Sherwan is…",Tue Mar 12 15:03:46 +0000 2019,1105484535372734473,India,rohith_speaks
